Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country) - Birthplace;Location (State, Country) - Current state and country.;Is your English proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;The International Polyglot Youth Project seeks young people from all over the world who are engaged and committed to equality and educational power. Tell us what you plan to do with the learning you will receive.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project?;What language do you plan to learn? You can choose three languages. [Brazilian Portuguese];What language do you plan to learn? You can choose three languages. [Deutsch];What language do you plan to learn? You can choose three languages. [French];What language do you plan to learn? You can choose three languages. [German];What language do you plan to learn? You can choose three languages. [Hungarian];What language do you plan to learn? You can choose three languages. [Italian];What language do you plan to learn? You can choose three languages. [Korean];What language do you plan to learn? You can choose three languages. [Modern Standard Arabic];What language do you plan to learn? You can choose three languages. [Spanish];What language do you plan to learn? You can choose three languages. [Russian];In up to 150 words, explain why you are interested in learning this/these language(s) and how it aligns with your future plans.;List ALL the days and times you would have available to learn. [06:00];List ALL the days and times you would have available to learn. [06:30];List ALL the days and times you would have available to learn. [07:00];List ALL the days and times you would have available to learn. [07:30];List ALL the days and times you would have available to learn. [08:00];List ALL the days and times you would have available to learn. [08:30];List ALL the days and times you would have available to learn. [09:00];List ALL the days and times you would have available to learn. [09:30];List ALL the days and times you would have available to learn. [10:00];List ALL the days and times you would have available to learn. [10:30];List ALL the days and times you would have available to learn. [11:00];List ALL the days and times you would have available to learn. [11:30];List ALL the days and times you would have available to learn. [12:00];List ALL the days and times you would have available to learn. [12:30];List ALL the days and times you would have available to learn. [13:00];List ALL the days and times you would have available to learn. [13:30];List ALL the days and times you would have available to learn. [14:00];List ALL the days and times you would have available to learn. [14:30];List ALL the days and times you would have available to learn. [15:00];List ALL the days and times you would have available to learn. [15:30];List ALL the days and times you would have available to learn. [16:00];List ALL the days and times you would have available to learn. [16:30];List ALL the days and times you would have available to learn. [17:00];List ALL the days and times you would have available to learn. [17:30];List ALL the days and times you would have available to learn. [18:00];List ALL the days and times you would have available to learn. [18:30];List ALL the days and times you would have available to learn. [19:00];List ALL the days and times you would have available to learn. [19:30];List ALL the days and times you would have available to learn. [20:00];List ALL the days and times you would have available to learn. [20:30];List ALL the days and times you would have available to learn. [21:00];List ALL the days and times you would have available to learn. [21:30];List ALL the days and times you would have available to learn. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to learn through weekly classes?
01/01/2022;mentee212@mail.com;mentee212;tee;15/09/1996;GMT +11;https://www.instagram.com/andreparedes06/;2728689767;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;A2;A1;A1;;A2;A1;B1;;B2;[Some text];['Saturday', 'Tuesday', 'Thursday', 'Monday'];['Friday', 'Wednesday', 'Saturday', 'Thursday', 'Sunday'];['Sunday', 'Tuesday', 'Wednesday', 'Saturday', 'Monday'];['Sunday', 'Saturday', 'Thursday', 'Wednesday', 'Friday'];['Saturday', 'Tuesday', 'Friday', 'Sunday'];['Wednesday', 'Tuesday', 'Thursday'];['Saturday', 'Friday', 'Monday', 'Wednesday'];['Wednesday', 'Friday', 'Saturday', 'Monday'];['Sunday', 'Tuesday', 'Saturday', 'Friday', 'Thursday'];['Wednesday', 'Saturday', 'Tuesday', 'Thursday', 'Monday'];['Saturday', 'Tuesday', 'Monday', 'Friday', 'Thursday'];['Tuesday', 'Sunday', 'Saturday', 'Friday', 'Thursday'];['Thursday', 'Wednesday', 'Friday', 'Saturday', 'Tuesday'];['Saturday', 'Tuesday', 'Wednesday', 'Friday'];['Thursday', 'Tuesday', 'Monday', 'Saturday'];['Sunday', 'Thursday', 'Monday', 'Friday', 'Wednesday'];['Friday', 'Saturday', 'Tuesday', 'Thursday'];['Saturday', 'Tuesday', 'Thursday', 'Friday'];['Sunday', 'Thursday', 'Saturday', 'Friday'];['Thursday', 'Tuesday', 'Wednesday'];['Wednesday', 'Saturday', 'Friday', 'Tuesday', 'Monday'];['Friday', 'Tuesday', 'Wednesday'];['Tuesday', 'Thursday', 'Sunday', 'Monday'];['Monday', 'Sunday', 'Tuesday', 'Saturday', 'Friday'];['Wednesday', 'Friday', 'Sunday', 'Monday', 'Thursday'];['Saturday', 'Wednesday', 'Friday', 'Thursday'];['Tuesday', 'Wednesday', 'Saturday', 'Thursday'];['Wednesday', 'Thursday', 'Saturday', 'Monday'];['Monday', 'Sunday', 'Tuesday', 'Thursday', 'Wednesday'];['Saturday', 'Thursday', 'Friday', 'Monday'];['Tuesday', 'Friday', 'Thursday', 'Saturday', 'Monday'];['Friday', 'Saturday', 'Sunday', 'Monday', 'Thursday'];['Thursday', 'Sunday', 'Wednesday', 'Friday', 'Tuesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee213@mail.com;mentee213;tee;18/08/2001;GMT -9:30;https://www.instagram.com/andreparedes06/;2791969948;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A1;;B2;B1;B1;A1;A2;B2;B2;B1;[Some text];['Tuesday', 'Sunday', 'Monday', 'Thursday'];['Monday', 'Sunday', 'Friday', 'Wednesday', 'Thursday'];['Wednesday', 'Tuesday', 'Monday', 'Sunday', 'Thursday'];['Wednesday', 'Monday', 'Tuesday', 'Sunday'];['Thursday', 'Wednesday', 'Saturday', 'Monday', 'Tuesday'];['Sunday', 'Saturday', 'Wednesday'];['Sunday', 'Saturday', 'Friday', 'Tuesday'];['Saturday', 'Sunday', 'Thursday', 'Wednesday'];['Sunday', 'Thursday', 'Wednesday', 'Friday'];['Saturday', 'Monday', 'Tuesday', 'Sunday'];['Wednesday', 'Tuesday', 'Monday', 'Friday', 'Thursday'];['Thursday', 'Wednesday', 'Monday', 'Sunday'];['Monday', 'Thursday', 'Friday', 'Saturday'];['Sunday', 'Wednesday', 'Thursday', 'Friday'];['Monday', 'Sunday', 'Thursday', 'Wednesday'];['Wednesday', 'Sunday', 'Thursday'];['Tuesday', 'Saturday', 'Thursday', 'Wednesday', 'Friday', 'Monday'];['Friday', 'Tuesday', 'Monday'];['Friday', 'Monday', 'Sunday', 'Thursday'];['Tuesday', 'Saturday', 'Monday', 'Wednesday', 'Sunday', 'Thursday', 'Friday'];['Thursday', 'Friday', 'Sunday', 'Wednesday', 'Tuesday'];['Friday', 'Sunday', 'Monday', 'Wednesday', 'Tuesday', 'Thursday'];['Thursday', 'Wednesday', 'Sunday', 'Tuesday', 'Saturday'];['Saturday', 'Friday', 'Wednesday', 'Tuesday'];['Monday', 'Saturday', 'Friday'];['Saturday', 'Friday', 'Tuesday', 'Sunday', 'Monday'];['Tuesday', 'Friday', 'Wednesday', 'Saturday', 'Monday'];['Sunday', 'Thursday', 'Friday', 'Wednesday'];['Tuesday', 'Friday', 'Wednesday', 'Thursday', 'Saturday'];['Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday', 'Sunday'];['Thursday', 'Monday', 'Wednesday', 'Friday', 'Sunday'];['Wednesday', 'Saturday', 'Tuesday', 'Sunday', 'Friday'];['Wednesday', 'Sunday', 'Thursday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee214@mail.com;mentee214;tee;22/06/2002;GMT -10;https://www.instagram.com/andreparedes06/;1554874545;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;B2;;B1;;A2;A1;;B1;A1;[Some text];['Friday', 'Monday', 'Thursday', 'Wednesday', 'Saturday'];['Wednesday', 'Saturday', 'Tuesday', 'Friday'];['Friday', 'Sunday', 'Monday', 'Thursday'];['Wednesday', 'Thursday', 'Monday', 'Sunday'];['Thursday', 'Saturday', 'Friday', 'Tuesday', 'Monday'];['Sunday', 'Thursday', 'Saturday', 'Tuesday', 'Monday'];['Saturday', 'Wednesday', 'Monday', 'Tuesday'];['Saturday', 'Sunday', 'Thursday', 'Wednesday'];['Wednesday', 'Friday', 'Monday', 'Tuesday'];['Monday', 'Thursday', 'Saturday', 'Friday'];['Tuesday', 'Thursday', 'Wednesday'];['Tuesday', 'Sunday', 'Friday', 'Thursday', 'Saturday'];['Saturday', 'Friday', 'Tuesday', 'Wednesday', 'Monday'];['Tuesday', 'Wednesday', 'Friday', 'Sunday', 'Thursday'];['Wednesday', 'Tuesday', 'Thursday', 'Monday'];['Wednesday', 'Saturday', 'Sunday', 'Tuesday', 'Thursday', 'Monday'];['Wednesday', 'Friday', 'Thursday', 'Tuesday', 'Saturday'];['Sunday', 'Tuesday', 'Wednesday', 'Saturday', 'Friday'];['Monday', 'Tuesday', 'Friday', 'Thursday', 'Sunday', 'Saturday'];['Monday', 'Tuesday', 'Thursday', 'Wednesday', 'Saturday'];['Wednesday', 'Sunday', 'Tuesday', 'Saturday', 'Monday', 'Friday', 'Thursday'];['Tuesday', 'Sunday', 'Wednesday', 'Monday', 'Saturday', 'Thursday'];['Monday', 'Friday', 'Saturday', 'Wednesday'];['Saturday', 'Thursday', 'Tuesday', 'Wednesday', 'Friday'];['Wednesday', 'Sunday', 'Thursday', 'Friday', 'Saturday'];['Saturday', 'Friday', 'Wednesday', 'Sunday'];['Friday', 'Tuesday', 'Sunday', 'Saturday', 'Wednesday'];['Monday', 'Sunday', 'Tuesday', 'Thursday', 'Friday'];['Monday', 'Wednesday', 'Friday', 'Thursday', 'Saturday'];['Friday', 'Tuesday', 'Sunday', 'Wednesday'];['Friday', 'Wednesday', 'Sunday', 'Monday'];['Thursday', 'Saturday', 'Monday', 'Wednesday'];['Monday', 'Tuesday', 'Friday', 'Sunday', 'Wednesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee215@mail.com;mentee215;tee;23/10/2000;GMT +11;https://www.instagram.com/andreparedes06/;1137235031;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B2;;B2;;B2;B2;B1;B2;A1;B1;[Some text];['Sunday', 'Tuesday', 'Wednesday', 'Saturday'];['Monday', 'Saturday', 'Wednesday', 'Sunday', 'Thursday'];['Friday', 'Sunday', 'Thursday', 'Monday'];['Tuesday', 'Saturday', 'Thursday', 'Friday', 'Monday'];['Wednesday', 'Friday', 'Sunday', 'Monday'];['Wednesday', 'Saturday', 'Tuesday', 'Friday', 'Monday'];['Friday', 'Thursday', 'Tuesday', 'Saturday'];['Monday', 'Sunday', 'Thursday', 'Tuesday', 'Wednesday'];['Tuesday', 'Wednesday', 'Thursday', 'Sunday'];['Tuesday', 'Thursday', 'Monday', 'Friday'];['Wednesday', 'Sunday', 'Saturday', 'Tuesday', 'Thursday', 'Monday'];['Saturday', 'Monday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Saturday', 'Wednesday', 'Sunday'];['Friday', 'Tuesday', 'Sunday', 'Wednesday'];['Monday', 'Wednesday', 'Sunday'];['Sunday', 'Thursday', 'Friday'];['Tuesday', 'Sunday', 'Friday', 'Monday', 'Wednesday'];['Thursday', 'Monday', 'Wednesday', 'Sunday', 'Friday'];['Wednesday', 'Thursday', 'Saturday', 'Tuesday', 'Monday'];['Saturday', 'Friday', 'Thursday', 'Wednesday', 'Tuesday'];['Saturday', 'Friday', 'Tuesday', 'Wednesday', 'Thursday'];['Saturday', 'Monday', 'Friday', 'Sunday'];['Thursday', 'Saturday', 'Sunday', 'Wednesday'];['Saturday', 'Monday', 'Sunday', 'Friday', 'Thursday'];['Friday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday'];['Sunday', 'Wednesday', 'Friday', 'Thursday', 'Monday'];['Saturday', 'Monday', 'Friday', 'Tuesday', 'Sunday'];['Saturday', 'Monday', 'Tuesday', 'Sunday'];['Monday', 'Sunday', 'Thursday', 'Tuesday', 'Friday'];['Thursday', 'Wednesday', 'Tuesday', 'Sunday', 'Friday'];['Tuesday', 'Monday', 'Wednesday', 'Thursday'];['Saturday', 'Wednesday', 'Tuesday', 'Friday', 'Sunday', 'Monday'];['Friday', 'Sunday', 'Monday', 'Saturday'];Yes, I do;[Some text];Yes
01/01/2022;mentee216@mail.com;mentee216;tee;04/08/2001;GMT +6;https://www.instagram.com/andreparedes06/;9084869868;Prefer not to say;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;A2;A2;A1;B1;B1;A1;B1;B1;B2;[Some text];['Sunday', 'Friday', 'Thursday', 'Saturday', 'Monday'];['Sunday', 'Tuesday', 'Thursday'];['Tuesday', 'Sunday', 'Saturday', 'Thursday'];['Tuesday', 'Monday'];['Friday', 'Wednesday', 'Tuesday', 'Thursday'];['Monday', 'Wednesday', 'Saturday', 'Friday'];['Tuesday', 'Thursday', 'Wednesday', 'Friday'];['Wednesday', 'Sunday', 'Thursday'];['Wednesday', 'Thursday', 'Monday', 'Friday', 'Sunday'];['Monday', 'Saturday', 'Thursday', 'Wednesday'];['Thursday', 'Friday', 'Wednesday', 'Tuesday'];['Sunday', 'Monday', 'Saturday', 'Wednesday'];['Friday', 'Tuesday', 'Monday', 'Sunday'];['Friday', 'Tuesday', 'Monday', 'Thursday', 'Sunday', 'Wednesday', 'Saturday'];['Tuesday', 'Thursday', 'Sunday', 'Saturday', 'Friday'];['Saturday', 'Thursday', 'Monday', 'Tuesday'];['Wednesday', 'Monday', 'Thursday', 'Tuesday', 'Friday'];['Friday', 'Thursday', 'Wednesday'];['Thursday', 'Sunday', 'Tuesday', 'Friday', 'Saturday'];['Wednesday', 'Friday', 'Tuesday'];['Tuesday', 'Friday', 'Monday', 'Sunday'];['Monday', 'Friday', 'Thursday', 'Sunday'];['Friday', 'Tuesday', 'Saturday', 'Sunday'];['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Monday'];['Friday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday'];['Thursday', 'Tuesday', 'Friday', 'Sunday'];['Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Friday'];['Monday', 'Saturday', 'Sunday', 'Friday'];['Monday', 'Sunday', 'Friday', 'Thursday'];['Monday', 'Friday', 'Tuesday', 'Saturday', 'Thursday'];['Sunday', 'Saturday', 'Thursday', 'Monday'];['Monday', 'Sunday', 'Wednesday', 'Friday', 'Thursday'];['Wednesday', 'Saturday', 'Thursday', 'Tuesday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee217@mail.com;mentee217;tee;13/01/2004;GMT -10;https://www.instagram.com/andreparedes06/;1262138941;Non-binary;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;A2;B2;B2;A2;A1;B1;A1;B2;B2;[Some text];['Saturday', 'Friday', 'Monday', 'Thursday'];['Wednesday', 'Tuesday', 'Friday', 'Thursday', 'Sunday'];['Friday', 'Thursday', 'Monday', 'Saturday'];['Friday', 'Saturday', 'Sunday', 'Tuesday'];['Saturday', 'Thursday', 'Sunday', 'Wednesday'];['Wednesday', 'Tuesday', 'Friday', 'Saturday', 'Thursday'];['Sunday', 'Tuesday', 'Thursday', 'Wednesday'];['Sunday', 'Wednesday', 'Tuesday', 'Monday', 'Saturday', 'Thursday'];['Wednesday', 'Thursday', 'Monday', 'Friday', 'Tuesday'];['Friday', 'Sunday', 'Tuesday', 'Thursday'];['Sunday', 'Tuesday', 'Saturday', 'Monday'];['Wednesday', 'Thursday', 'Tuesday', 'Saturday', 'Friday'];['Thursday', 'Monday', 'Wednesday', 'Friday', 'Sunday'];['Wednesday', 'Sunday', 'Friday', 'Monday', 'Tuesday'];['Saturday', 'Sunday', 'Wednesday', 'Tuesday', 'Monday', 'Friday'];['Monday', 'Wednesday', 'Saturday', 'Tuesday', 'Sunday'];['Friday', 'Wednesday', 'Sunday', 'Saturday', 'Thursday'];['Monday', 'Sunday', 'Tuesday', 'Friday', 'Thursday'];['Saturday', 'Friday', 'Sunday', 'Thursday'];['Wednesday', 'Friday', 'Sunday', 'Monday'];['Saturday', 'Friday', 'Monday', 'Thursday', 'Sunday'];['Thursday', 'Monday', 'Saturday', 'Tuesday', 'Sunday'];['Friday', 'Sunday', 'Thursday', 'Wednesday', 'Saturday'];['Sunday', 'Wednesday', 'Monday', 'Thursday'];['Friday', 'Thursday', 'Sunday', 'Wednesday'];['Monday', 'Wednesday', 'Sunday'];['Sunday', 'Monday', 'Friday'];['Wednesday', 'Thursday', 'Saturday', 'Monday', 'Friday', 'Sunday'];['Friday', 'Saturday', 'Thursday', 'Sunday', 'Monday'];['Sunday', 'Monday', 'Wednesday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Monday', 'Wednesday'];['Tuesday', 'Sunday', 'Monday', 'Thursday'];['Friday', 'Tuesday', 'Sunday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee218@mail.com;mentee218;tee;01/01/2005;GMT +2;https://www.instagram.com/andreparedes06/;3066910292;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;A2;A1;A2;A2;;B2;A2;;A1;[Some text];['Saturday', 'Monday', 'Thursday', 'Friday', 'Sunday'];['Monday', 'Wednesday', 'Tuesday', 'Saturday', 'Friday'];['Thursday', 'Friday', 'Sunday', 'Saturday', 'Tuesday'];['Wednesday', 'Tuesday', 'Thursday', 'Friday', 'Sunday'];['Monday', 'Tuesday', 'Wednesday', 'Saturday', 'Thursday', 'Sunday'];['Wednesday', 'Saturday', 'Tuesday', 'Thursday', 'Sunday'];['Sunday', 'Wednesday', 'Monday', 'Friday', 'Saturday'];['Tuesday', 'Sunday', 'Monday', 'Thursday', 'Wednesday', 'Friday'];['Friday', 'Tuesday', 'Monday', 'Wednesday', 'Thursday'];['Monday', 'Saturday', 'Friday', 'Sunday'];['Wednesday', 'Monday', 'Saturday', 'Thursday', 'Tuesday'];['Monday', 'Saturday', 'Sunday', 'Thursday'];['Monday', 'Saturday', 'Friday', 'Tuesday'];['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Monday', 'Thursday'];['Saturday', 'Monday', 'Thursday', 'Friday', 'Tuesday'];['Thursday', 'Sunday', 'Wednesday', 'Monday', 'Friday'];['Sunday', 'Wednesday', 'Tuesday', 'Friday'];['Thursday', 'Wednesday', 'Sunday', 'Monday'];['Tuesday', 'Friday', 'Monday', 'Sunday', 'Saturday'];['Monday', 'Saturday', 'Wednesday', 'Thursday', 'Tuesday'];['Tuesday', 'Wednesday', 'Saturday', 'Friday'];['Sunday', 'Monday', 'Saturday', 'Wednesday'];['Sunday', 'Monday', 'Thursday', 'Tuesday', 'Friday', 'Saturday'];['Saturday', 'Tuesday', 'Friday', 'Wednesday', 'Sunday'];['Thursday', 'Wednesday', 'Friday', 'Sunday', 'Monday'];['Friday', 'Sunday', 'Tuesday'];['Friday', 'Wednesday', 'Thursday', 'Saturday', 'Tuesday'];['Friday', 'Tuesday', 'Sunday', 'Thursday', 'Saturday'];['Thursday', 'Monday', 'Sunday'];['Friday', 'Tuesday', 'Monday', 'Saturday'];['Wednesday', 'Thursday', 'Friday', 'Monday'];['Friday', 'Monday', 'Saturday', 'Wednesday'];['Tuesday', 'Friday', 'Thursday', 'Sunday'];Yes, I do;[Some text];Yes
01/01/2022;mentee219@mail.com;mentee219;tee;17/07/2002;GMT -8;https://www.instagram.com/andreparedes06/;3687145094;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;A1;A1;;A1;B2;B2;A1;A1;B2;[Some text];['Saturday', 'Tuesday', 'Sunday', 'Monday'];['Wednesday', 'Saturday', 'Monday', 'Sunday', 'Friday', 'Tuesday'];['Sunday', 'Wednesday', 'Monday', 'Saturday', 'Tuesday'];['Thursday', 'Friday', 'Saturday', 'Wednesday', 'Monday'];['Tuesday', 'Thursday', 'Wednesday', 'Saturday', 'Friday'];['Sunday', 'Tuesday', 'Wednesday', 'Saturday'];['Saturday', 'Tuesday', 'Friday', 'Monday', 'Thursday'];['Sunday', 'Friday', 'Wednesday', 'Saturday', 'Thursday', 'Monday'];['Sunday', 'Friday', 'Saturday', 'Wednesday', 'Tuesday'];['Monday', 'Wednesday', 'Saturday', 'Friday'];['Wednesday', 'Monday', 'Thursday', 'Saturday'];['Friday', 'Sunday', 'Wednesday', 'Saturday', 'Tuesday'];['Tuesday', 'Sunday', 'Monday', 'Wednesday', 'Saturday'];['Sunday', 'Thursday', 'Tuesday', 'Wednesday'];['Wednesday', 'Tuesday', 'Monday', 'Friday', 'Thursday'];['Friday', 'Saturday', 'Tuesday', 'Thursday'];['Wednesday', 'Saturday', 'Sunday', 'Monday', 'Thursday', 'Tuesday'];['Thursday', 'Friday', 'Sunday', 'Tuesday'];['Monday', 'Friday', 'Tuesday', 'Thursday', 'Sunday', 'Saturday'];['Tuesday', 'Sunday', 'Saturday', 'Friday', 'Thursday'];['Wednesday', 'Tuesday', 'Monday', 'Sunday'];['Friday', 'Wednesday', 'Saturday', 'Sunday', 'Thursday'];['Sunday', 'Thursday', 'Tuesday', 'Wednesday'];['Saturday', 'Friday', 'Thursday', 'Tuesday'];['Tuesday', 'Friday', 'Thursday', 'Monday'];['Tuesday', 'Monday', 'Friday'];['Tuesday', 'Thursday', 'Sunday', 'Wednesday', 'Friday', 'Saturday'];['Tuesday', 'Saturday', 'Wednesday', 'Thursday'];['Saturday', 'Thursday', 'Monday', 'Friday', 'Wednesday'];['Thursday', 'Tuesday', 'Wednesday', 'Saturday', 'Monday'];['Wednesday', 'Monday', 'Tuesday', 'Saturday'];['Friday', 'Saturday', 'Wednesday', 'Monday'];['Thursday', 'Wednesday', 'Tuesday', 'Saturday'];Yes, I do;[Some text];Yes
01/01/2022;mentee220@mail.com;mentee220;tee;04/09/2003;GMT +8:45;https://www.instagram.com/andreparedes06/;4506991062;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;A2;A1;A1;B1;;B1;;A2;A1;[Some text];['Friday', 'Monday', 'Sunday', 'Wednesday'];['Friday', 'Thursday', 'Saturday', 'Tuesday'];['Thursday', 'Saturday', 'Tuesday', 'Friday', 'Wednesday', 'Monday'];['Sunday', 'Monday', 'Wednesday', 'Tuesday', 'Friday'];['Sunday', 'Friday', 'Saturday', 'Thursday', 'Tuesday'];['Wednesday', 'Saturday', 'Thursday', 'Friday'];['Wednesday', 'Tuesday', 'Sunday', 'Saturday', 'Monday'];['Wednesday', 'Sunday', 'Tuesday', 'Saturday', 'Friday'];['Friday', 'Wednesday', 'Sunday', 'Saturday'];['Thursday', 'Sunday', 'Wednesday', 'Friday', 'Tuesday'];['Thursday', 'Saturday', 'Wednesday', 'Monday', 'Sunday'];['Saturday', 'Thursday', 'Sunday', 'Friday', 'Monday'];['Saturday', 'Thursday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Sunday', 'Monday'];['Friday', 'Sunday', 'Wednesday', 'Thursday'];['Sunday', 'Saturday', 'Thursday'];['Tuesday', 'Sunday', 'Monday'];['Saturday', 'Thursday', 'Wednesday', 'Monday', 'Friday'];['Monday', 'Saturday', 'Thursday'];['Friday', 'Saturday', 'Wednesday', 'Sunday'];['Saturday', 'Monday', 'Friday', 'Sunday', 'Thursday'];['Saturday', 'Wednesday', 'Thursday', 'Tuesday', 'Friday'];['Wednesday', 'Saturday', 'Sunday', 'Friday'];['Thursday', 'Monday', 'Saturday'];['Monday', 'Wednesday', 'Tuesday'];['Wednesday', 'Sunday', 'Thursday', 'Saturday', 'Friday'];['Saturday', 'Friday', 'Monday', 'Tuesday'];['Monday', 'Sunday', 'Thursday', 'Friday', 'Wednesday'];['Sunday', 'Wednesday', 'Monday', 'Saturday', 'Friday'];['Saturday', 'Monday', 'Thursday', 'Tuesday'];['Wednesday', 'Sunday', 'Monday', 'Tuesday', 'Saturday', 'Thursday'];['Friday', 'Saturday', 'Monday', 'Tuesday', 'Sunday'];['Thursday', 'Friday', 'Monday', 'Wednesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee221@mail.com;mentee221;tee;12/09/2007;GMT +10;https://www.instagram.com/andreparedes06/;2460722452;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;A2;A2;;A1;B2;B2;B2;;A2;[Some text];['Friday', 'Thursday', 'Saturday', 'Monday', 'Tuesday'];['Sunday', 'Wednesday', 'Saturday', 'Monday'];['Sunday', 'Thursday', 'Monday', 'Friday', 'Wednesday'];['Friday', 'Wednesday', 'Tuesday', 'Sunday'];['Friday', 'Sunday', 'Wednesday', 'Tuesday', 'Thursday'];['Monday', 'Thursday', 'Wednesday', 'Tuesday', 'Sunday'];['Thursday', 'Saturday', 'Tuesday', 'Friday', 'Sunday'];['Thursday', 'Monday', 'Friday', 'Sunday'];['Wednesday', 'Friday', 'Tuesday', 'Thursday', 'Saturday', 'Monday'];['Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Wednesday', 'Tuesday', 'Thursday', 'Monday', 'Sunday', 'Saturday'];['Monday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday'];['Wednesday', 'Sunday', 'Thursday', 'Friday'];['Thursday', 'Wednesday', 'Tuesday', 'Sunday'];['Friday', 'Sunday', 'Wednesday', 'Saturday'];['Sunday', 'Friday', 'Wednesday', 'Saturday'];['Sunday', 'Saturday', 'Friday', 'Tuesday', 'Thursday'];['Sunday', 'Friday', 'Wednesday'];['Monday', 'Thursday', 'Wednesday', 'Sunday', 'Saturday'];['Tuesday', 'Monday', 'Wednesday', 'Saturday', 'Thursday', 'Sunday'];['Monday', 'Tuesday', 'Saturday', 'Friday', 'Wednesday'];['Saturday', 'Sunday', 'Monday', 'Tuesday'];['Friday', 'Wednesday', 'Thursday'];['Saturday', 'Sunday', 'Wednesday', 'Friday'];['Wednesday', 'Sunday', 'Tuesday', 'Monday'];['Tuesday', 'Thursday', 'Saturday', 'Monday', 'Friday', 'Wednesday'];['Thursday', 'Tuesday', 'Friday', 'Wednesday', 'Sunday'];['Monday', 'Friday', 'Tuesday', 'Sunday', 'Wednesday'];['Tuesday', 'Friday', 'Saturday', 'Monday'];['Friday', 'Saturday', 'Sunday', 'Thursday', 'Tuesday'];['Monday', 'Thursday', 'Tuesday', 'Friday'];['Tuesday', 'Friday', 'Saturday', 'Monday'];['Sunday', 'Wednesday', 'Monday'];Yes, I do;[Some text];Yes
