Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country);Location (State, Country).1;Is your proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;International Polyglot Youth believes in the transformative power of knowledge of foreign cultures and languages. Tell us, in up to 150 words, about a situation in which you realized the importance of foreign languages in your trajectory.;In the IPY project, we value cultural differences and teamwork, as we believe they connect us and help us create a more egalitarian and respectful world. In this way, describe in up to 100 words a time when you did not lead a team work well and what you learned from it.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project? Describe in up to 150 words.;What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Brazilian Portuguese];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Deutsch];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [English];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [French];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [German];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Hungarian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Italian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Korean];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Modern Standard Arabic];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Spanish];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Russian];Is there any other language that you would like to teach? If so, write it please;Do you have any experience in teaching?;If you do, tell us more about it.;How did you learn the language you intend to teach?;If you have a certificate in the language(s) you plan to teach, please attach it below. Certificates such as IELTS, TOEFL, TOPIK, DELE etc.;List ALL the days and times you would have available to teach. [06:00];List ALL the days and times you would have available to teach. [06:30];List ALL the days and times you would have available to teach. [07:00];List ALL the days and times you would have available to teach. [07:30];List ALL the days and times you would have available to teach. [08:00];List ALL the days and times you would have available to teach. [08:30];List ALL the days and times you would have available to teach. [09:00];List ALL the days and times you would have available to teach. [09:30];List ALL the days and times you would have available to teach. [10:00];List ALL the days and times you would have available to teach. [10:30];List ALL the days and times you would have available to teach. [11:00];List ALL the days and times you would have available to teach. [11:30];List ALL the days and times you would have available to teach. [12:00];List ALL the days and times you would have available to teach. [12:30];List ALL the days and times you would have available to teach. [13:00];List ALL the days and times you would have available to teach. [13:30];List ALL the days and times you would have available to teach. [14:00];List ALL the days and times you would have available to teach. [14:30];List ALL the days and times you would have available to teach. [15:00];List ALL the days and times you would have available to teach. [15:30];List ALL the days and times you would have available to teach. [16:00];List ALL the days and times you would have available to teach. [16:30];List ALL the days and times you would have available to teach. [17:00];List ALL the days and times you would have available to teach. [17:30];List ALL the days and times you would have available to teach. [18:00];List ALL the days and times you would have available to teach. [18:30];List ALL the days and times you would have available to teach. [19:00];List ALL the days and times you would have available to teach. [19:30];List ALL the days and times you would have available to teach. [20:00];List ALL the days and times you would have available to teach. [20:30];List ALL the days and times you would have available to teach. [21:00];List ALL the days and times you would have available to teach. [21:30];List ALL the days and times you would have available to teach. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to teaching weekly classes?
01/01/2022;mentee41@mail.com;mentor41;tor;03/01/2005;GMT +11;https://www.instagram.com/andreparedes06/;4342472153;Non-binary;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Native Speaker;Self learning;;Self learning;Native Speaker;Language certificate;;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;Friday;;;;;Saturday;Thursday;;;;;Wednesday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee42@mail.com;mentor42;tor;24/02/1995;GMT +9:30;https://www.instagram.com/andreparedes06/;1359481457;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;;;Self learning;;;;Language certificate;;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;;;;Sunday;Saturday;;;;;;;;;;;;;;;;Sunday;;;;;;;;;Saturday;;Tuesday;Yes, I do;[Some text];Yes
01/01/2022;mentee43@mail.com;mentor43;tor;03/06/2011;GMT -8;https://www.instagram.com/andreparedes06/;5428715520;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;;Language certificate;;Language certificate;Native Speaker;Language certificate;Language certificate;;;[Some text];No;[Some text];[Some text];[Some link];;Tuesday;;;Saturday;;;;;;;;;;;;Wednesday;;;;;;Friday, Saturday;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee44@mail.com;mentor44;tor;09/10/2001;GMT +7;https://www.instagram.com/andreparedes06/;7261577489;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;Language certificate;;Language certificate;Self learning;Self learning;Language certificate;Language certificate;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;Monday;;Sunday;;Thursday;;;;;Friday;Tuesday;;;;;;;;;;;;;;;;;;Sunday;;Yes, I do;[Some text];Yes
01/01/2022;mentee45@mail.com;mentor45;tor;11/10/1999;GMT -7;https://www.instagram.com/andreparedes06/;4000000048;Prefer not to say;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;;Language certificate;;Language certificate;Language certificate;;Self learning;Self learning;;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;Sunday;;;;;;;;;Friday;;;;;;;Sunday;Yes, I do;[Some text];Yes
01/01/2022;mentee46@mail.com;mentor46;tor;19/06/2009;GMT -10;https://www.instagram.com/andreparedes06/;8711424878;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;;Language certificate;Language certificate;Self learning;Language certificate;;Self learning;Native Speaker;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee47@mail.com;mentor47;tor;25/09/2007;GMT -2;https://www.instagram.com/andreparedes06/;7837054943;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Native Speaker;Native Speaker;Language certificate;Language certificate;;;Language certificate;;Native Speaker;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;;;;Friday;;;;;;;Monday, Sunday;;;;;;;;;;;;Saturday;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee48@mail.com;mentor48;tor;15/05/2010;GMT +8:45;https://www.instagram.com/andreparedes06/;6807373805;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Language certificate;Language certificate;Language certificate;Native Speaker;Language certificate;Native Speaker;;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;Wednesday;Monday, Friday;;;;;;;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee49@mail.com;mentor49;tor;15/08/2008;GMT +10;https://www.instagram.com/andreparedes06/;7108430365;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Native Speaker;Language certificate;Self learning;;;Language certificate;Native Speaker;Self learning;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;Friday;;;;;;;;;;;;;Tuesday;;;;;;Monday;Tuesday;;;;;;;Wednesday;Yes, I do;[Some text];Yes
01/01/2022;mentee50@mail.com;mentor50;tor;17/07/2002;GMT +6:30;https://www.instagram.com/andreparedes06/;8421875563;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;Language certificate;Language certificate;Language certificate;Language certificate;;Language certificate;;Native Speaker;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;Saturday;;;Sunday;;;Thursday;;;Saturday;;;;;;;;Monday;Friday;;;;;;Sunday;;;Tuesday;Yes, I do;[Some text];Yes
01/01/2022;mentee51@mail.com;mentor51;tor;19/11/2004;GMT +11;https://www.instagram.com/andreparedes06/;2096681083;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;;Native Speaker;Language certificate;Native Speaker;;Language certificate;;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;Wednesday;;;;;;;;;;;;;;;;;Monday;;;;;;;Wednesday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee52@mail.com;mentor52;tor;07/04/1995;GMT +9;https://www.instagram.com/andreparedes06/;1909210819;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;Language certificate;;Language certificate;;Language certificate;;Language certificate;;Self learning;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;Sunday;;;;;;Tuesday;;;;;;Friday, Saturday;;;;;;;Tuesday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee53@mail.com;mentor53;tor;21/02/2011;GMT -4;https://www.instagram.com/andreparedes06/;6506247728;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;;;;;;;Native Speaker;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;Sunday;;;Wednesday;;;;;;;;;;;;Monday;;Wednesday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee54@mail.com;mentor54;tor;22/05/2003;GMT +2;https://www.instagram.com/andreparedes06/;5394126743;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Self learning;Language certificate;Language certificate;;;;Native Speaker;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;Tuesday, Saturday;;;;;;;;;;;;;;;;;Saturday;;;;;;Thursday;;;;Tuesday;Yes, I do;[Some text];Yes
01/01/2022;mentee55@mail.com;mentor55;tor;06/10/2000;GMT +1;https://www.instagram.com/andreparedes06/;4258542442;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;Language certificate;;Native Speaker;;;;Language certificate;Native Speaker;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;Saturday;;;;;;;;;;;;;;;;;Friday;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee56@mail.com;mentor56;tor;02/06/2011;GMT -10;https://www.instagram.com/andreparedes06/;4070766623;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;;Self learning;Native Speaker;Native Speaker;;;Language certificate;;Native Speaker;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;Monday;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee57@mail.com;mentor57;tor;23/05/2005;GMT +3:30;https://www.instagram.com/andreparedes06/;1309490889;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;;;;Language certificate;;Native Speaker;Language certificate;Native Speaker;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];Friday;Friday;;;;;;;;;;;;;;;;;;;;Saturday;;;;;Sunday;Wednesday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee58@mail.com;mentor58;tor;20/04/1997;GMT +6:30;https://www.instagram.com/andreparedes06/;9429201724;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Self learning;Language certificate;Language certificate;;Language certificate;Language certificate;Language certificate;Self learning;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];Tuesday;;;;;;;Monday;;;;;;;;;Monday;;;Thursday;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee59@mail.com;mentor59;tor;07/06/2005;GMT -12;https://www.instagram.com/andreparedes06/;1231747284;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Language certificate;Self learning;Language certificate;;;Language certificate;;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;Sunday;Saturday;;;;;;;;;Thursday;;;;;;;;;;;;;Wednesday;;Yes, I do;[Some text];Yes
01/01/2022;mentee60@mail.com;mentor60;tor;19/03/2011;GMT +13;https://www.instagram.com/andreparedes06/;5135072284;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Self learning;;;Language certificate;Language certificate;;;Language certificate;;;[Some text];Yes;[Some text];[Some text];[Some link];Tuesday;;Monday;;;;;;;;;;;Thursday;;;;;;;;;;;;;Friday;;;;Saturday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee61@mail.com;mentor61;tor;12/09/2010;GMT -7;https://www.instagram.com/andreparedes06/;8141323582;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Native Speaker;Language certificate;Language certificate;Language certificate;Self learning;Language certificate;;;;Self learning;[Some text];No;[Some text];[Some text];[Some link];Friday;;;;;;;;;;;;;;;;;;Wednesday, Thursday;Friday;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee62@mail.com;mentor62;tor;19/08/2004;GMT +10:30;https://www.instagram.com/andreparedes06/;7625436936;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Native Speaker;Language certificate;;Language certificate;Language certificate;Native Speaker;Language certificate;;;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;;Saturday;;;Thursday;Thursday;;Sunday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee63@mail.com;mentor63;tor;14/06/2004;GMT -10;https://www.instagram.com/andreparedes06/;9890575279;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;;Native Speaker;Language certificate;Language certificate;Language certificate;;;;;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;;Friday;;;;Monday;;;;;;Tuesday;;;Wednesday;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee64@mail.com;mentor64;tor;07/02/2005;GMT +13:45;https://www.instagram.com/andreparedes06/;8814491511;Prefer not to say;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;;Language certificate;Self learning;Language certificate;Language certificate;Language certificate;Self learning;;[Some text];Yes;[Some text];[Some text];[Some link];;Tuesday;;;;;;;;;;;Wednesday;Sunday;;;;;;;;;;Wednesday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee65@mail.com;mentor65;tor;02/10/1998;GMT -3;https://www.instagram.com/andreparedes06/;9994794013;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Self learning;Language certificate;;;Language certificate;Native Speaker;Native Speaker;Language certificate;Language certificate;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;Saturday;;;;;;;;;Monday;;Monday;;;;;;;;;;Wednesday;Sunday;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee66@mail.com;mentor66;tor;22/09/2006;GMT +8;https://www.instagram.com/andreparedes06/;9915766558;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;;;;Self learning;Language certificate;Self learning;;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;;;;;Friday;;;;;;Monday;;;;;;;;;;;;;;;Monday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee67@mail.com;mentor67;tor;15/09/1995;GMT +5;https://www.instagram.com/andreparedes06/;8851509007;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;Language certificate;Language certificate;;;Language certificate;;;Self learning;;;[Some text];Yes;[Some text];[Some text];[Some link];;;;Tuesday;;;;;;;;;;;;;;Tuesday;Monday;;;;;;;;;;;Wednesday, Saturday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee68@mail.com;mentor68;tor;20/01/1999;GMT -11;https://www.instagram.com/andreparedes06/;7587068847;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;;;;Self learning;;;;;[Some text];Yes;[Some text];[Some text];[Some link];Wednesday;;;;;;;Monday;;;;Friday;;Friday;;;;;;Sunday;;;;;;;;;Wednesday;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee69@mail.com;mentor69;tor;12/02/1995;GMT -7;https://www.instagram.com/andreparedes06/;1472673793;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;Language certificate;Language certificate;;;;Language certificate;;Language certificate;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;Sunday;;;;;;;;Saturday;;;;;;Wednesday;;;;Tuesday;;Sunday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee70@mail.com;mentor70;tor;23/04/2002;GMT +12;https://www.instagram.com/andreparedes06/;3604103312;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;Language certificate;Language certificate;;Language certificate;Language certificate;;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;Friday;;Monday;;;;;;Thursday;;Sunday;;;Wednesday;;;;;;;Sunday;;;Monday;;Saturday;Friday;;Yes, I do;[Some text];Yes
01/01/2022;mentee71@mail.com;mentor71;tor;12/07/1998;GMT +4:30;https://www.instagram.com/andreparedes06/;8504176233;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Native Speaker;Language certificate;;Language certificate;Language certificate;Language certificate;Language certificate;Self learning;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;Wednesday;;;;;;;;;Sunday;;;Saturday;;;Thursday;;;Monday, Sunday;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee72@mail.com;mentor72;tor;31/10/2003;GMT +6:30;https://www.instagram.com/andreparedes06/;6548653974;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Self learning;Language certificate;Self learning;;Language certificate;Self learning;Native Speaker;Language certificate;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;Wednesday;;;;Wednesday;;;;;;;;;;;;;;;;;;;;Saturday;;Yes, I do;[Some text];Yes
01/01/2022;mentee73@mail.com;mentor73;tor;28/02/2004;GMT +6:30;https://www.instagram.com/andreparedes06/;8156656805;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;;Self learning;Native Speaker;;Native Speaker;Language certificate;;Self learning;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;Tuesday;;;;;;;;;;Tuesday;;;;;;Sunday;;;;;Monday, Tuesday;;;Friday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee74@mail.com;mentor74;tor;24/08/1999;GMT -9;https://www.instagram.com/andreparedes06/;9711004907;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;;Language certificate;Language certificate;Language certificate;Self learning;Native Speaker;;Self learning;;[Some text];Yes;[Some text];[Some text];[Some link];Saturday;;;;;;Thursday, Saturday;;;;;;;;;;;;;;;Sunday;;Friday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee75@mail.com;mentor75;tor;28/11/2000;GMT +9:30;https://www.instagram.com/andreparedes06/;9833679198;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;Native Speaker;;;Language certificate;Language certificate;Native Speaker;;;[Some text];Yes;[Some text];[Some text];[Some link];;Tuesday, Saturday;;Tuesday;;;;;;;;;;;;;;;;Wednesday;;;;;;;;;;;Tuesday, Sunday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee76@mail.com;mentor76;tor;21/08/2010;GMT +9:30;https://www.instagram.com/andreparedes06/;3710444545;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Self learning;Language certificate;Language certificate;Language certificate;Language certificate;Native Speaker;;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;Friday;;;;;;;;;;;;;;;Saturday;;;;;;Friday;;;Thursday;;;;Monday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee77@mail.com;mentor77;tor;22/12/2004;GMT +13;https://www.instagram.com/andreparedes06/;7960613756;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;Self learning;Language certificate;Language certificate;Self learning;Self learning;Language certificate;;Self learning;;Language certificate;[Some text];No;[Some text];[Some text];[Some link];Friday;;;;;Friday;;;;;;;Friday, Saturday;;;;;;;;;;;;;;Wednesday;;Wednesday;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee78@mail.com;mentor78;tor;22/07/2005;GMT +14;https://www.instagram.com/andreparedes06/;8198432609;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;;;Native Speaker;Self learning;Native Speaker;;;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;Saturday;;;;;;;;;;;;Thursday;;;;;Tuesday;;;;;;Tuesday, Wednesday;;;;;;;;Monday;Yes, I do;[Some text];Yes
01/01/2022;mentee79@mail.com;mentor79;tor;03/02/2008;GMT +13;https://www.instagram.com/andreparedes06/;7466361086;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;Language certificate;Language certificate;Language certificate;Self learning;Language certificate;;Language certificate;Language certificate;Language certificate;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;;Saturday;;;;;;;;;;;;;;Sunday;;;;;;Tuesday;;Monday;;;;;;;Thursday, Sunday;;Yes, I do;[Some text];Yes
01/01/2022;mentee80@mail.com;mentor80;tor;23/05/2008;GMT +14;https://www.instagram.com/andreparedes06/;9571357073;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Native Speaker;;Native Speaker;Language certificate;Self learning;Language certificate;Self learning;Language certificate;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;Thursday, Friday;;;;Friday;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee81@mail.com;mentor81;tor;28/04/2008;GMT +10;https://www.instagram.com/andreparedes06/;6066617169;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;;;;;Language certificate;;;Language certificate;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;Wednesday;;;;;;;;;;;;;;Saturday;Thursday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee82@mail.com;mentor82;tor;07/05/1996;GMT +0;https://www.instagram.com/andreparedes06/;6600586329;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;;;Language certificate;Language certificate;Self learning;Self learning;Self learning;;;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;Tuesday;;;;;;;Thursday;Tuesday;Thursday;;Tuesday;Yes, I do;[Some text];Yes
01/01/2022;mentee83@mail.com;mentor83;tor;07/10/1996;GMT -5;https://www.instagram.com/andreparedes06/;8024543115;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Self learning;;Language certificate;;;Self learning;Language certificate;;Language certificate;Language certificate;[Some text];No;[Some text];[Some text];[Some link];Tuesday;;;;;;;;;;;;;;;;;Thursday;;;;;Thursday;;;;Wednesday;Saturday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee84@mail.com;mentor84;tor;21/05/2008;GMT +9;https://www.instagram.com/andreparedes06/;2750252754;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;;Self learning;Self learning;Native Speaker;;;Language certificate;Native Speaker;Language certificate;[Some text];No;[Some text];[Some text];[Some link];;Thursday;Thursday;;;Monday;;;;;;;;;;;;;;;;;;;Saturday;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee85@mail.com;mentor85;tor;24/12/2000;GMT +9:30;https://www.instagram.com/andreparedes06/;3333568235;Non-binary;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Self learning;;Self learning;;Language certificate;Language certificate;Language certificate;;Self learning;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;;;Sunday;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee86@mail.com;mentor86;tor;22/10/2002;GMT +0;https://www.instagram.com/andreparedes06/;8303718119;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;Language certificate;;Self learning;Self learning;Self learning;;Language certificate;;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];Wednesday;;;;;;;;;Saturday;;;;Saturday;;;Monday;;;;;;Saturday;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee87@mail.com;mentor87;tor;30/11/2008;GMT +7;https://www.instagram.com/andreparedes06/;5505695258;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Language certificate;Language certificate;Language certificate;Language certificate;;;Native Speaker;Self learning;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;Monday;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee88@mail.com;mentor88;tor;17/07/2005;GMT +3:30;https://www.instagram.com/andreparedes06/;6885703160;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;;Self learning;Language certificate;;Language certificate;Self learning;;Language certificate;Native Speaker;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;;Monday;;;;;;;;;Tuesday;;;;;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
